




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	HH3K9ac_H1.intersect_with_DeepZ.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	HH3K9ac_H1.intersect_with_DeepZ.genes_uniq.txt (5409)	HH3K9ac_H1.intersect_with_DeepZ.genes_uniq.txt (expected)	HH3K9ac_H1.intersect_with_DeepZ.genes_uniq.txt (over/under)	HH3K9ac_H1.intersect_with_DeepZ.genes_uniq.txt (fold Enrichment)	HH3K9ac_H1.intersect_with_DeepZ.genes_uniq.txt (raw P-value)	HH3K9ac_H1.intersect_with_DeepZ.genes_uniq.txt (FDR)
mitochondrial cytochrome c oxidase assembly (GO:0033617)	22	18	5.78	+	3.12	5.87E-04	1.47E-02
respiratory chain complex IV assembly (GO:0008535)	26	21	6.83	+	3.08	2.14E-04	6.03E-03
maturation of 5.8S rRNA (GO:0000460)	35	28	9.19	+	3.05	2.76E-05	9.87E-04
viral budding via host ESCRT complex (GO:0039702)	20	16	5.25	+	3.05	1.42E-03	3.19E-02
viral translation (GO:0019081)	19	15	4.99	+	3.01	2.21E-03	4.63E-02
ribosomal small subunit assembly (GO:0000028)	19	15	4.99	+	3.01	2.21E-03	4.62E-02
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	96	73	25.21	+	2.90	4.91E-11	4.00E-09
viral budding (GO:0046755)	25	19	6.57	+	2.89	1.10E-03	2.56E-02
viral transcription (GO:0019083)	116	88	30.47	+	2.89	5.01E-13	4.86E-11
cytoplasmic translation (GO:0002181)	122	92	32.04	+	2.87	2.31E-13	2.32E-11
cotranslational protein targeting to membrane (GO:0006613)	101	76	26.53	+	2.87	3.77E-11	3.12E-09
protein targeting to ER (GO:0045047)	112	84	29.42	+	2.86	2.58E-12	2.28E-10
maturation of LSU-rRNA (GO:0000470)	28	21	7.35	+	2.86	5.47E-04	1.39E-02
transcription by RNA polymerase III (GO:0006383)	32	24	8.40	+	2.86	1.90E-04	5.47E-03
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	24	18	6.30	+	2.86	1.68E-03	3.71E-02
histone mRNA metabolic process (GO:0008334)	24	18	6.30	+	2.86	1.68E-03	3.70E-02
virion assembly (GO:0019068)	39	29	10.24	+	2.83	6.02E-05	2.01E-03
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	120	89	31.52	+	2.82	9.63E-13	9.12E-11
establishment of protein localization to endoplasmic reticulum (GO:0072599)	116	86	30.47	+	2.82	2.65E-12	2.33E-10
ribosomal large subunit biogenesis (GO:0042273)	72	53	18.91	+	2.80	4.80E-08	2.73E-06
translational initiation (GO:0006413)	143	105	37.56	+	2.80	1.49E-14	1.61E-12
multivesicular body assembly (GO:0036258)	30	22	7.88	+	2.79	4.42E-04	1.14E-02
mitochondrial RNA metabolic process (GO:0000959)	41	30	10.77	+	2.79	4.67E-05	1.59E-03
cytochrome complex assembly (GO:0017004)	36	26	9.45	+	2.75	2.08E-04	5.88E-03
RNA phosphodiester bond hydrolysis, exonucleolytic (GO:0090503)	42	30	11.03	+	2.72	5.74E-05	1.92E-03
multivesicular body organization (GO:0036257)	31	22	8.14	+	2.70	5.63E-04	1.42E-02
ribosome assembly (GO:0042255)	62	44	16.28	+	2.70	1.53E-06	6.92E-05
snRNA transcription (GO:0009301)	71	50	18.65	+	2.68	3.91E-07	1.99E-05
snRNA transcription by RNA polymerase II (GO:0042795)	70	49	18.38	+	2.67	5.81E-07	2.86E-05
nuclear-transcribed mRNA catabolic process (GO:0000956)	195	136	51.21	+	2.66	4.73E-17	6.39E-15
mitochondrial translational elongation (GO:0070125)	88	61	23.11	+	2.64	2.18E-08	1.32E-06
mitochondrial gene expression (GO:0140053)	142	98	37.29	+	2.63	1.82E-12	1.67E-10
regulation of mitochondrial gene expression (GO:0062125)	29	20	7.62	+	2.63	1.29E-03	2.95E-02
translational elongation (GO:0006414)	127	87	33.35	+	2.61	4.42E-11	3.64E-09
viral gene expression (GO:0019080)	172	117	45.17	+	2.59	2.59E-14	2.75E-12
mitochondrial translation (GO:0032543)	112	76	29.42	+	2.58	1.07E-09	7.75E-08
ribosomal large subunit assembly (GO:0000027)	28	19	7.35	+	2.58	1.95E-03	4.20E-02
protein localization to endoplasmic reticulum (GO:0070972)	143	97	37.56	+	2.58	3.82E-12	3.32E-10
rRNA processing (GO:0006364)	262	177	68.81	+	2.57	8.42E-21	1.43E-18
termination of RNA polymerase II transcription (GO:0006369)	40	27	10.51	+	2.57	2.45E-04	6.79E-03
mitochondrial translational termination (GO:0070126)	89	60	23.37	+	2.57	6.99E-08	3.88E-06
ribosomal small subunit biogenesis (GO:0042274)	73	49	19.17	+	2.56	9.79E-07	4.62E-05
ncRNA transcription (GO:0098781)	94	63	24.69	+	2.55	3.09E-08	1.82E-06
ER-nucleus signaling pathway (GO:0006984)	39	26	10.24	+	2.54	5.71E-04	1.43E-02
